BATCH,CA_offset,freq_delta_15MHz,freq_factor_15MHz,diss_factor1_15MHz,diss_factor2_15MHz,freq_delta_5MHz,freq_factor_5MHz,diss_factor1_5MHz,diss_factor2_5MHz,distances
W0315A,0,400,0.0141,0.1507e6,0,51000000,0.0147,0.2222e6,1.67,[1.15 1.62 2.13 2.7 3.38 5.20 11.00 16.9]
W0315B,3,400,0.0147,0.1680e6,0,51000000,0.0147,0.2222e6,1.67,[1.15 1.61 2.17 2.67 3.23 5.10 10.90 16.2]
DD230321_W1,0,600,0.0112,0.1025e6,0,51000000,0.0147,0.2222e6,1.67,[1.15 1.61 2.17 2.67 3.23 5.10 11.30 17.5]
DD230321_W2,3,600,0.0050,0.0712e6,0,51000000,0.0147,0.2222e6,1.67,[1.15 1.61 2.17 2.67 3.23 5.10 11.30 17.5]
DD230517_W1,7,600,0.0077,0.0934e6,0,51000000,0.0147,0.2222e6,1.67,[1.15 1.61 2.13 2.66 3.46 5.10 11.30 17.0]
DD230517_W2,2,600,0.0068,0.0900e6,0,51000000,0.0147,0.2222e6,1.67,[1.15 1.61 2.16 2.66 3.46 5.10 11.40 17.0]
MC230521_W6,0,200,0.0206,0.2467e6,0,51000000,0.0147,0.2222e6,1.67,[1.35 1.76 2.19 2.69 3.35 5.4 10.80 16]
W0220,0,400,0.0165,0.1649e6,0,51000000,0.0147,0.2222e6,1.67,[1.15 1.62 2.13 2.7 3.38 5.15 11.20 16.5]
DD230609_W1,2,400,0.0120,0.1495e6,0,51000000,0.0147,0.2222e6,1.67,[1.15 1.62 2.13 2.7 3.38 5.0 11.4 16.3]
MM230816_W3,-2,400,0.0756,0.1951e6,0,51000000,0.0147,0.2222e6,1.67,[1.34 1.72 2.15 2.75 3.4 5.15 10.8 15.7]
MM230816_W4,-6,400,0.0132,0.2011e6,0,51000000,0.0147,0.2222e6,1.67,[1.35 1.75 2.22 2.75 3.38 5.15 10.9 16.3]
MM230816_W2,-2,400,0.0152,0.1970e6,0,51000000,0.0147,0.2222e6,1.67,[1.3 1.79 2.2 2.7 3.33 5 11.2 16.1]
MM230816_W5,-2,300,0.0665,0.2123e6,0,51000000,0.0147,0.2222e6,1.67,[1.3 1.8 2.3 2.75 3.38 5 10.8 15.8]
MM230816_W6,3,300,0.0188,0.2056e6,0,51000000,0.0147,0.2222e6,1.67,[1.34 1.9 2.38 2.94 3.6 5.2 10.8 15.7]
MM230816_W7,1,300,0.0216,0.2134e6,0,51000000,0.0147,0.2222e6,1.67,[1.36 1.95 2.43 2.94 3.56 5.1 10.95 16.3]
DD231011_W1,0,250,0.0831,0.2406e6,0,51000000,0.0147,0.2222e6,1.67,[1.27 1.8 2.25 2.78 3.44 5.0 10.7 16.3]
MM231106_W5,0,300,0.0165,0.2628e6,0,51000000,0.0147,0.2222e6,1.67,[1.29 1.82 2.28 2.8 3.43 5.05 11.1 16.35]
MM231106_W7,-5,350,0.0119,0.2124e6,0,51000000,0.0147,0.2222e6,1.67,[1.19 1.9 2.32 2.8 3.45 4.95 11.1 16.3]
MM231106_W8,2,350,0.0134,0.2100e6,0,51000000,0.0147,0.2222e6,1.67,[1.26 1.88 2.25 2.7 3.3 4.95 11.1 16.1]
MM231106_W6,1,350,0.0125,0.2067e6,0,51000000,0.0147,0.2222e6,1.67,[1.18 1.94 2.32 2.82 3.4 4.97 10.95 16.4]
MM231106_W9,1,300,0.0169,0.2257e6,0,51000000,0.0147,0.2222e6,1.67,[1.22 1.73 2.18 2.72 3.28 5.12 11.1 16.2]
MM231106_W10,-5.5,300,0.0136,0.2168e6,0,51000000,0.0147,0.2222e6,1.67,[1.21 1.73 2.08 2.6 3.28 5.12 11.3 16.7]
DD240401_W1,-9,300,0.0165,0.2854e6,0,51000000,0.0147,0.2222e6,1.67,[1.10 1.61 2.08 2.58 3.28 4.97 11 16.5]
DD240409_W1,-3,300,0.0163,0.2630e6,0,51000000,0.0147,0.2222e6,1.67,[1.15 1.65 2.1 2.655 3.35 4.93 11.33 16.37]
DD240409_W2,-7.5,300,0.0139,0.2599e6,0,51000000,0.0147,0.2222e6,1.67,[1.09 1.64 1.95 2.3 2.85 4.93 11.05 16.5]
DD240419_W1,-5,200,0.0165,0.2709e6,0,51000000,0.0147,0.2222e6,1.67,[1.1 1.7 2.08 2.6 3.15 4.9 11.05 16.4]
DD240501_W1,-5,200,0.0141,0.2394e6,0,51000000,0.0147,0.2222e6,1.67,[1.13 1.66 2.13 2.63 3.27 5.08 11.1 16.3]
MM240506_W1,-3,300,0.0125,0.2200e6,0,51000000,0.0147,0.2222e6,1.67,[1.2 1.79 2.16 2.71 3.37 5.04 10.9 16.55]
MM240506_W3,-5.6,300,0.0104,0.2200e6,0,51000000,0.0147,0.2222e6,1.67,[1.17 1.68 2.15 2.64 3.3 5.15 11.35 16.5]
MM240506_W4,-8,300,0.0110,0.1931e6,0,51000000,0.0147,0.2222e6,1.67,[1.129 1.63 2.1 2.62 3.28 5.1 11.22 16.5]
MM240625_W1,0,400,0.0173,0.2125e6,0,51000000,0.0147,0.2222e6,1.67,[1.199 1.55 2.03 2.57 3.245 4.89 10.9 16.14]
MM240625_W2,-5.0,400,0.0183,0.2169e6,0,51000000,0.0147,0.2222e6,1.67,[1.24 1.558 1.98 2.48 3.128 4.84 11.00 15.97]
MM240625_Y4,0,400,0.0150,0.2200e6,0,51000000,0.0147,0.2222e6,1.67,[1.334 1.86 2.315 2.89 3.53 5.255 11.17 16.58]
MM240625_W4,-2,400,0.0150,0.1984e6,0,51000000,0.0147,0.2222e6,1.67,[1.275 1.82 2.3 2.80 3.37 5.08 10.98 16.5]
MM240625_Y3,-4,400,0.0150,0.2170e6,0,51000000,0.0147,0.2222e6,1.67,[1.315 1.735 2.084 2.67 3.26 5.26 11.04 16.29]
MM240625_W3,-1.5,400,0.0150,0.2203e6,0,51000000,0.0147,0.2222e6,1.67,[1.29 1.665 2.04 2.48 3.08 4.98 11.15 16.2]
M240625_W6,0.5,450,0.0127,0.2230e6,0,51000000,0.0147,0.2222e6,1.67,[1.09 1.55 1.95 2.39 2.97 4.81 10.65 15.87]
M240625_W7,0.7,250,0.0145,0.2370e6,0,51000000,0.0147,0.2222e6,1.67,[1.05 1.65 2.03 2.56 3.15 4.85 10.83 15.53]
M240625_W5,0.2,250,0.0125,0.2151e6,0,51000000,0.0147,0.2222e6,1.67,[1.159 1.62 2.115 2.64 3.42 5.07 11.61 16.83]
M240625_W8,0.2,250,0.0118,0.1930e6,0,51000000,0.0147,0.2222e6,1.67,[1.206 1.65 2.075 2.554 3.185 5.03 11.2 16.42]
M240625W9A,1.1,350,0.0133,0.2031e6,0,51000000,0.0147,0.2222e6,1.67,[1.3 1.72 2.175 2.68 3.28 5.135 11.15 16.4]
M240625W9B,2,350,0.0133,0.2144e6,0,51000000,0.0147,0.2222e6,1.67,[1.305 1.775 2.265 2.785 3.445 5.21 10.97 16.1]
M24062510A,0,450,0.0130,0.2382e6,0,51000000,0.0147,0.2222e6,1.67,[1.275 1.720 2.245 2.82 3.519 5.26 11.49 17.02]
M24062510B,0.15,400,0.0147,0.2377e6,0,51000000,0.0147,0.2222e6,1.67,[1.2 1.830 2.365 2.91 3.5 5.1 11.05 16.23]
M24062511A,0.6,400,0.0121,0.1908e6,0,51000000,0.0147,0.2222e6,1.67,[1.15 1.491 1.958 2.475 3.181 5.095 11.139 16.157]
M24062511B,-1.4,400,0.0111,0.1905e6,0,51000000,0.0147,0.2222e6,1.67,[1.15 1.632 2.096 2.649 3.33 5.112 11.383 16.606]
M240625W12,-3.6,400,0.013,0.2542e6,0,51000000,0.0147,0.2222e6,1.67,[1.186 1.614 1.986 2.523 3.259 5.105 11.372 16.606]
M240625W13,1.0,400,0.0121,0.2433e6,0,51000000,0.0147,0.2222e6,1.67,[1.198 1.653 2.221 2.712 3.402 5.002 11.354 16.606]
M240913_W1,2.25,400,0.0147,0.2560e6,0,51000000,0.0147,0.2222e6,1.67,[1.315 2.072 2.54 3.06 3.64 5.16 11.265 16.55]
M240913_W2,2.5,450,0.0129,0.2299e6,0,51000000,0.0147,0.2222e6,1.67,[1.29 1.96 2.365 2.86 3.495 5.17 11.28 16.4]
M240913_W3,-0.2,400,0.0167,0.2224e6,0,51000000,0.0147,0.2222e6,1.67,[1.156 1.502 2.19 2.74 3.403 5.077 11.333 16.606]
M240913_W4,2,400,0.0131,0.2363e6,0,51000000,0.0147,0.2222e6,1.67,[1.3558 2.026 2.51 3.036 3.685 5.3249 11.474 16.606]
M240913_W5,2,400,0.015,0.2437e6,0,51000000,0.0147,0.2222e6,1.67,[1.202 1.772 2.192 2.766 3.514 5.246 11.246 16.606]
M240913_W8,1.5,400,0.019,0.2470e6,0,51000000,0.0147,0.2222e6,1.67,[1.2984 1.7012 2.086 2.653 3.329 5.221 11.54 16.606]
M240913_W6,1.7,400,0.0125,0.2430e6,0,51000000,0.0147,0.2222e6,1.67,[1.192 1.733 2.273 2.838 3.388 5.239 11.431 16.606]
M240913W10,2.8,400,0.0133,0.2191e6,0,51000000,0.0147,0.2222e6,1.67,[1.188 1.811 2.35 2.854 3.52 5.284 11.627 16.606]
M240913W11,2.8,400,0.0132,0.2409e6,0,51000000,0.0147,0.2222e6,1.67,[1.236 1.667 2.009 2.667 3.389 5.184 11.43 16.606]
D250224W3,7.5,300,0.0155,0.2530e6,0,51000000,0.0147,0.2222e6,1.67,[1.333 1.782 2.141 2.592 3.134 4.769 10.965 16.606]
M250505W2,3.5,400,0.0135,0.2053e6,0,51000000,0.0147,0.2222e6,1.67,[1.27 1.862 2.235 2.755 3.54 5.154 11.231 16.606]
M250505W6,2,350,0.0156,0.2308e6,0,51000000,0.0147,0.2222e6,1.67,[1.131 1.647 1.781 2.416 2.99 5.068 11.428 16.606]
M250505W3,3.3,350,0.0154,0.2203e6,0,51000000,0.0147,0.2222e6,1.67,[1.18 1.726 1.974 2.427 3.02 4.961 11.358 16.606]
M250505W7,1.3,350,0.0142,0.2307e6,0,51000000,0.0147,0.2222e6,1.67,[1.243 1.840 2.171 2.88 3.48 5.052 11.254 16.606]
M250505W8,-4.8,350,0.014,0.2584e6,0,51000000,0.0147,0.2222e6,1.67,[1.187 1.742 2.141 2.6 3.16 5.232 11.46 16.606]
M250505W12,-1.2,350,0.0149,0.2350e6,0,51000000,0.0147,0.2222e6,1.67,[1.207 1.745 2.104 2.656 3.347 5.131 11.369 16.606]
